epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3261,2.97782,2.57362,1.90223,0.21667,0.17098,0.14968,0.05163,2.65387,2.62941,1.57417,0.0700685,0.00332572,0.00332572
2,112.75,2.20386,1.76742,1.47554,0.40049,0.32061,0.33812,0.13782,2.13051,1.83904,1.41164,0.0400026,0.00659313,0.00659313
3,166.892,2.04358,1.58272,1.39716,0.39948,0.37149,0.3512,0.15506,2.02884,1.74417,1.389,0.00987064,0.00979454,0.00979454
4,219.527,1.93798,1.43105,1.34771,0.58457,0.40006,0.45457,0.20939,1.89951,1.41722,1.30099,0.009703,0.009703,0.009703
5,273.319,1.86085,1.34903,1.30986,0.54777,0.38333,0.43813,0.20495,1.89814,1.43138,1.3043,0.009604,0.009604,0.009604
6,326.666,1.80578,1.28559,1.28869,0.5067,0.38965,0.43633,0.20793,1.86698,1.49522,1.28068,0.009505,0.009505,0.009505
7,378.673,1.7688,1.24028,1.27062,0.57667,0.41665,0.46989,0.22478,1.82849,1.49193,1.28651,0.009406,0.009406,0.009406
8,433.433,1.74774,1.21386,1.25827,0.59655,0.46773,0.51761,0.24987,1.76941,1.2877,1.23812,0.009307,0.009307,0.009307
9,487.146,1.71164,1.17224,1.24257,0.59734,0.4443,0.50254,0.23737,1.79833,1.36538,1.2592,0.009208,0.009208,0.009208
10,540.973,1.69235,1.15203,1.23207,0.59327,0.47265,0.5111,0.24954,1.7449,1.28212,1.21745,0.009109,0.009109,0.009109
11,595.609,1.67876,1.14325,1.22447,0.6295,0.46113,0.51966,0.25097,1.75883,1.27599,1.2399,0.00901,0.00901,0.00901
12,649.354,1.67148,1.12639,1.22052,0.63485,0.4754,0.52972,0.24813,1.77775,1.24837,1.22396,0.008911,0.008911,0.008911
13,702.236,1.63778,1.10153,1.20489,0.64132,0.49522,0.55441,0.2711,1.70673,1.18103,1.21192,0.008812,0.008812,0.008812
14,755.101,1.62587,1.08219,1.1974,0.63142,0.54138,0.59143,0.29309,1.66199,1.11353,1.17919,0.008713,0.008713,0.008713
15,807.875,1.63312,1.08926,1.20142,0.66164,0.4795,0.5494,0.27042,1.71038,1.18166,1.19898,0.008614,0.008614,0.008614
16,859.726,1.61201,1.06635,1.19052,0.69705,0.53274,0.60904,0.30236,1.64833,1.07079,1.17943,0.008515,0.008515,0.008515
17,911.367,1.60381,1.06174,1.18253,0.65735,0.47509,0.5525,0.27236,1.69177,1.19098,1.18462,0.008416,0.008416,0.008416
18,963.17,1.589,1.04708,1.17756,0.67592,0.51344,0.58406,0.28918,1.68497,1.10515,1.19123,0.008317,0.008317,0.008317
19,1014.52,1.58239,1.03666,1.17465,0.69019,0.51012,0.58637,0.29442,1.66667,1.147,1.18605,0.008218,0.008218,0.008218
20,1065.99,1.57509,1.0231,1.17568,0.70422,0.53146,0.60994,0.30889,1.61396,1.06492,1.14887,0.008119,0.008119,0.008119
21,1117.67,1.56612,1.01504,1.16695,0.68493,0.50795,0.57057,0.28273,1.66412,1.16272,1.17869,0.00802,0.00802,0.00802
22,1169.84,1.5645,1.0083,1.16176,0.72477,0.53964,0.61846,0.30752,1.62335,1.07592,1.15644,0.007921,0.007921,0.007921
23,1222.21,1.56064,1.00913,1.15909,0.71915,0.55842,0.61456,0.30598,1.62539,1.05127,1.15387,0.007822,0.007822,0.007822
24,1274.36,1.54509,0.99885,1.15472,0.70859,0.55577,0.62421,0.31269,1.61631,1.07127,1.15103,0.007723,0.007723,0.007723
25,1326.4,1.5436,0.99826,1.15133,0.71607,0.54787,0.6261,0.31194,1.63118,1.04981,1.14242,0.007624,0.007624,0.007624
26,1378.29,1.5475,0.992,1.15101,0.7088,0.58846,0.65162,0.32994,1.58421,1.00243,1.13594,0.007525,0.007525,0.007525
27,1431.47,1.53965,0.99082,1.15146,0.72065,0.53895,0.62637,0.31532,1.60144,1.04507,1.13684,0.007426,0.007426,0.007426
28,1484.25,1.52543,0.97393,1.14415,0.72772,0.56405,0.63663,0.32749,1.56606,1.00751,1.12634,0.007327,0.007327,0.007327
29,1535.92,1.52767,0.97596,1.13919,0.74237,0.5967,0.67337,0.33551,1.56428,0.97231,1.11998,0.007228,0.007228,0.007228
30,1587.53,1.51657,0.95941,1.13302,0.76948,0.55583,0.65051,0.33392,1.56492,1.01645,1.12463,0.007129,0.007129,0.007129
31,1639.21,1.51014,0.95429,1.13411,0.77496,0.56956,0.66957,0.34098,1.5462,0.9741,1.11582,0.00703,0.00703,0.00703
